gene,ctrl_g1,tazko_g1,ctrl_g2,tazko_g2,ctrl_g3,tazko_g3,ctrl_g4,tazko_g4,ctrl_g5,tazko_g5,ctrl_g6,tazko_g6,ctrl_g7,tazko_g7,ctrl_g8,tazko_g8
A1BG,0,2,1,6,0,1,1,2,1,1,0,0,1,1,0,1
A1BG-AS1,3,2,2,2,4,3,2,1,1,1,2,2,1,0,3,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A2M-AS1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,12,9,7,20,7,12,8,8,4,10,13,13,7,13,10,9
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,29,15,20,26,23,25,19,24,22,18,25,19,24,13,30,16
AACS,26,37,12,27,21,26,15,25,18,37,19,33,18,19,14,29
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,1,0,1,0,0,0,2,0,4,0,3,0,3,0,0,0
AADAT,7,10,8,6,5,6,7,7,7,9,11,11,7,8,17,6
AAGAB,41,37,31,24,27,31,28,27,40,33,37,18,18,32,18,36
AAK1,50,81,53,83,50,97,70,69,57,90,56,72,82,112,75,113
AAMDC,4,8,0,2,1,3,5,10,6,3,2,4,4,3,7,7
AAMP,57,59,64,81,68,53,63,57,57,62,64,73,51,57,72,65
AANAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,44,48,42,52,57,52,70,59,47,44,57,35,43,48,54,37
AARD,2,2,1,0,0,1,0,2,2,2,1,3,5,2,1,0
AARS1,253,64,222,63,195,51,148,69,188,80,174,81,79,65,103,62
AARS1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS2,20,21,14,21,14,23,17,11,16,25,17,16,19,16,24,23
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARSD1P1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,12,20,17,20,16,14,23,13,18,14,11,15,8,11,13,17
AASDHPPT,159,107,140,100,134,90,100,97,130,96,87,73,79,82,76,76
AASS,31,87,31,59,25,58,37,64,47,64,39,43,31,38,30,48
AATBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,199,113,196,101,179,93,141,120,164,118,146,92,124,97,116,92
AATK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABALON,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0
ABCA1,74,72,85,79,61,84,59,74,68,81,57,50,34,60,46,41
ABCA10,3,0,1,3,0,4,2,0,0,1,2,1,1,1,1,6
ABCA11P,7,10,13,5,7,12,11,4,10,13,10,3,6,18,6,7
ABCA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA13,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0
ABCA17P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA2,26,58,23,39,17,35,20,42,29,37,26,54,36,30,33,39
ABCA3,16,23,16,13,18,15,24,9,19,19,11,23,19,15,26,14
ABCA4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
ABCA5,11,7,15,10,14,12,9,11,12,9,6,4,3,5,19,7
ABCA6,0,0,3,0,0,0,2,0,2,0,2,0,3,0,4,0
ABCA7,1,13,9,8,7,15,8,10,10,9,9,17,12,12,11,8
ABCA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,24,52,20,44,25,44,36,35,28,63,29,46,29,33,22,42
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,7,5,4,10,6,15,8,8,10,9,5,8,3,0,8,7
ABCB7,35,31,33,27,31,38,38,38,24,24,21,21,16,30,14,21
ABCB8,13,20,10,14,18,25,15,22,16,26,16,17,12,13,17,23
ABCB9,5,10,7,3,11,6,6,4,8,14,4,9,7,6,7,8
ABCC1,49,75,74,75,55,68,67,55,68,81,56,67,49,70,61,72
ABCC10,33,22,28,26,33,24,14,25,26,29,19,23,17,15,30,19
ABCC11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC2,1,2,1,0,3,0,1,2,1,4,4,1,2,0,0,1
ABCC3,15,28,13,25,10,47,10,32,14,9,12,34,10,34,18,17
ABCC4,30,38,39,50,39,45,40,38,39,42,27,29,31,38,30,38
ABCC5,33,20,34,36,39,26,40,28,24,25,25,34,34,30,49,42
ABCC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6,0,0,0,0,0,0,2,0,1,1,1,0,0,1,2,0
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ABCC6P2,0,1,4,1,0,1,0,0,0,0,0,1,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
