"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"A1BG",0,1.90922712950872,0.984459049285661,5.56758895844051,0,0.984725274573314,0.978264872244716,1.9329203193192,0.935575038941364,0.917748948034956,0,0,1.0613383811115,1.06073486213846,0,1.03015082331387
"A1BG-AS1",2.96416356714302,1.90922712950872,1.96891809857132,1.85586298614684,3.90940973341978,2.95417582371994,1.95652974448943,0.9664601596596,0.935575038941364,0.917748948034956,1.98479847330551,2.01697713370671,1.0613383811115,0,3.09294207726765,0
"A2M",0,0,0,0,0,0,0,0,0,0,0,0,1.0613383811115,0,0,0
"A2M-AS1",0,0,2.95337714785698,0,0.977352433354944,0,0,0,0.935575038941364,0,0,0,0,0,0,0
"A4GALT",11.8566542685721,8.59152208278925,6.89121334499963,18.5586298614684,6.84146703348461,11.8167032948798,7.82611897795773,7.7316812772768,3.74230015576545,9.17748948034956,12.9011900764858,13.1103513690936,7.42936866778048,13.7895532078,10.3098069242255,9.27135740982483
"AAAS",28.6535811490492,14.3192034713154,19.6891809857132,24.1262188199089,22.4791059671637,24.6181318643328,18.5870325726496,23.1950438318304,20.58265085671,16.5194810646292,24.8099809163188,19.1612827702137,25.4721211466759,13.7895532078,30.9294207726765,16.4824131730219
"AACS",25.6894175819062,35.3207018959113,11.8135085914279,25.0541503129823,20.5244011004538,25.6028571389062,14.6739730836707,24.16150399149,16.8403507009445,33.9567110772934,18.8555854964023,33.2801227061606,19.1040908600069,20.1539623806308,14.4337296939157,29.8743738761022
"AADAC",0,0,0.984459049285661,0,0,0,0,0,0,0,0.992399236652753,0,0,0,0,0
"AADACP1",0.988054522381008,0,0.984459049285661,0,0,0,1.95652974448943,0,3.74230015576545,0,2.97719770995826,0,3.18401514333449,0,0,0
"AADAT",6.91638165666705,9.54613564754361,7.87567239428529,5.56758895844051,4.88676216677472,5.90835164743988,6.84785410571301,6.7652211176172,6.54902527258955,8.25974053231461,10.9163916031803,11.0933742353869,7.42936866778048,8.48587889710769,17.5266717711833,6.18090493988322
"AAGAB",40.5102354176213,35.3207018959113,30.5182305278555,22.270355833762,26.3885157005835,30.5264835117727,27.391416422852,26.0944243108092,37.4230015576545,30.2857152851536,36.7187717561518,18.1527942033604,19.1040908600069,33.9435155884308,18.5576524636059,37.0854296392993
"AAK1",49.4027261190504,77.3236987451032,52.17632961214,77.0183139250938,48.8676216677472,95.5183516336114,68.4785410571301,66.6857510165124,53.3277772196577,82.5974053231461,55.5743572525542,72.6111768134414,87.0297472511428,118.802304559508,77.3235519316911,116.407043034467
"AAMDC",3.95221808952403,7.63690851803489,0,1.85586298614684,0.977352433354944,2.95417582371994,4.89132436122358,9.664601596596,5.61345023364818,2.75324684410487,1.98479847330551,4.03395426741341,4.24535352444599,3.18220458641538,7.21686484695784,7.21105576319709
