"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",1.08517085355702,1.77359966098563,0.984973018754606,1.80065811673517,0.0717567829186749,0.199048697450604
"A1BG-AS1",1.78088295593915,-0.735527532075813,0.671002569750462,-1.09616201969144,0.273007877359452,0.489256627323666
"A2M",0.0663336488194686,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"A2M-AS1",0.304144038759581,-1.76184030338548,1.81664942963968,-0.969829552493752,0.332131459614172,NA
"A4GALT",9.99033796454709,0.445314991632138,0.294571444953177,1.51173849081985,0.130600402571569,0.303393436037534
"AAAS",21.4634001606256,-0.322584386643144,0.197143246107522,-1.63629438498343,0.10177799070126,0.255005408007238
"AACS",23.0837150305128,0.682879936090486,0.195596289010133,3.49127245484249,0.000480725755551544,0.0036835982309556
"AADAC",0.123553642871151,-0.739872522326054,2.60897568700826,-0.283587358061766,0.776726626346099,NA
"AADACP1",0.864534770325894,-3.26338502429148,1.10447707363112,-2.95468788099209,0.00312985515742653,0.0173605634991069
"AADAT",8.17220772586921,-0.153434164871217,0.320604139920242,-0.478578239536731,0.632238701918773,0.797575235228413
"AAGAB",29.3932084359269,-0.0245484088742023,0.189612781421121,-0.129466002714667,0.89698892441714,0.948522728822087
"AAK1",74.9465435726248,0.522796086320346,0.147623653406646,3.54141138127943,0.000397992525785184,0.00314183178205164
"AAMDC",4.26083577175553,0.445189718387178,0.486352363727773,0.915364561970886,0.360000275977673,0.580754194766253
"AAMP",61.8325278583931,0.0121725677562249,0.119325600038551,0.102011368493369,0.918747651408241,0.962510750075004
"AAR2",48.6167662347255,-0.162380633975034,0.140350287248495,-1.15696688021403,0.247285892036006,0.459476986166246
"AARD",1.49819350317946,-0.0285866521608265,0.771950303139778,-0.0370317260639126,0.970459709341355,0.991192829380744
"AARS1",116.68020285601,-1.35775332148042,0.17087950723057,-7.9456767138753,1.93133511733542e-15,1.67519179739881e-13
"AARS2",18.3227415203096,0.123282001119622,0.212911909082955,0.579028207725051,0.562570140145111,0.749985437553684
"AARSD1P1",0.0615286905803538,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"AASDH",14.8461178617219,0.0543815012805799,0.235084697886711,0.231327269573227,0.817060563086808,0.908910997820119
"AASDHPPT",99.8865249518245,-0.34463265868737,0.133501922403747,-2.58148086920506,0.00983774437370937,0.0437730735550941
"AASS",44.8066874483197,0.743683442626012,0.158727077809903,4.6852966292032,2.7955476135948e-06,4.12549995260811e-05
"AATF",128.741883461903,-0.632552919023078,0.106670085159152,-5.92999356923083,3.02946544906645e-09,8.44235371528999e-08
"AATK",0.0663336488194686,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"ABALON",0.0579957183170887,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"ABAT",0.37011405673417,-0.018525608673108,1.48153989366986,-0.0125042928322497,0.990023277795024,NA
"ABCA1",62.7964852375482,0.140943290746891,0.153105145282987,0.920565344073727,0.357277402737121,0.577889952818854
"ABCA10",1.61705267513632,0.665955987907144,0.791422678972398,0.841466899548339,0.400086420911985,0.619203674519518
"ABCA11P",8.76745059223971,0.0306856683413535,0.341036941224642,0.0899775497374661,0.928305055165741,0.968211149525789
"ABCA13",0.435818554160098,-1.05635265696395,1.33533498477581,-0.791076897563128,0.428899119580697,0.643509091298758
"ABCA2",33.5439695838618,0.646371122022176,0.179624188377642,3.5984637028018,0.000320102514791647,0.0025996334062363
"ABCA3",17.2967503707314,-0.206007421845499,0.23023409441298,-0.894773740486824,0.370908050409091,0.590925830641437
"ABCA4",0.193733412282602,0.342142328369915,2.29106331505422,0.149337788319402,0.881287098811866,NA
