"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",1.08517085355702,0.211319373197374,0.392672170555946,0.0717567829186749,0.199048697450604
"A1BG-AS1",1.78088295593915,-0.142667975145407,0.317841066300099,0.273007877359452,0.489256627323666
"A2M",0.0663336488194686,-0.0171693781366814,0.310136516093951,0.901388564855365,NA
"A2M-AS1",0.304144038759581,-0.0696165733290941,0.319292992231225,0.332131459614172,NA
"A4GALT",9.99033796454709,0.26960833884693,0.258235084155796,0.130600402571569,0.303393436037534
"AAAS",21.4634001606256,-0.246737186962092,0.182940678546932,0.10177799070126,0.255005408007238
"AACS",23.0837150305128,0.600330873641386,0.199309603703333,0.000480725755551544,0.0036835982309556
"AADAC",0.123553642871151,-0.0280942287685518,0.311002721704527,0.776726626346099,NA
"AADACP1",0.864534770325894,-0.392701371152386,0.877760168906511,0.00312985515742653,0.0173605634991069
"AADAT",8.17220772586921,-0.0750833312801917,0.227899827747771,0.632238701918773,0.797575235228413
"AAGAB",29.3932084359269,-0.0177422006413341,0.161846725745906,0.89698892441714,0.948522728822087
"AAK1",74.9465435726248,0.473339511109793,0.148276852349785,0.000397992525785184,0.00314183178205164
"AAMDC",4.26083577175553,0.137909351319084,0.28853139540059,0.360000275977673,0.580754194766253
"AAMP",61.8325278583931,0.0106673294563941,0.11138591251173,0.918747651408241,0.962510750075004
"AAR2",48.6167662347255,-0.136841854352801,0.130659656886673,0.247285892036006,0.459476986166246
"AARD",1.49819350317946,-0.0039108998218419,0.28783644617809,0.970459709341355,0.991192829380744
"AARS1",116.68020285601,-1.31765882105998,0.172936490131103,1.93133511733542e-15,1.67519179739881e-13
"AARS2",18.3227415203096,0.0848977473352113,0.178571688861041,0.562570140145111,0.749985437553684
"AARSD1P1",0.0615286905803538,-0.0168533556115274,0.310110243479204,0.901388564855365,NA
"AASDH",14.8461178617219,0.0347733539345079,0.187912904578837,0.817060563086808,0.908910997820119
"AASDHPPT",99.8865249518245,-0.306216006680661,0.130670354446565,0.00983774437370937,0.0437730735550941
"AASS",44.8066874483197,0.691993391680637,0.161074867351458,2.7955476135948e-06,4.12549995260811e-05
"AATF",128.741883461903,-0.60785536612417,0.107310087975871,3.02946544906645e-09,8.44235371528999e-08
"AATK",0.0663336488194686,-0.0171693781366814,0.310136516093951,0.901388564855365,NA
"ABALON",0.0579957183170887,0.0156848885687378,0.310002931210046,0.910986091726001,NA
"ABAT",0.37011405673417,-0.000534717472382487,0.304387740460237,0.990023277795024,NA
"ABCA1",62.7964852375482,0.114937469824124,0.139759263062088,0.357277402737121,0.577889952818854
"ABCA10",1.61705267513632,0.0927087940425055,0.305390871463228,0.400086420911985,0.619203674519518
"ABCA11P",8.76745059223971,0.0140687508554774,0.229649111136389,0.928305055165741,0.968211149525789
"ABCA13",0.435818554160098,-0.0567050351762481,0.31057365826584,0.428899119580697,0.643509091298758
"ABCA2",33.5439695838618,0.575707045648125,0.182465656880348,0.000320102514791647,0.0025996334062363
"ABCA3",17.2967503707314,-0.136955915987156,0.193665311026563,0.370908050409091,0.590925830641437
"ABCA4",0.193733412282602,0.0136858670388428,0.308509069367461,0.881287098811866,NA
"ABCA5",9.45590921237443,-0.265449825755878,0.275042439140953,0.140687367832272,0.319185759486066
"ABCA6",1.00461208478496,-4.38546366954355,2.47245244625281,0.00091801403329759,0.00637647585290489
"ABCA7",9.84518398682828,0.25449678274905,0.261878031787804,0.151142863717861,0.333953297671783
"ABCB10",35.0995034099585,0.67639425699569,0.164459093982899,6.47082186464938e-06,8.71864716869943e-05
"ABCB4",0.0644362932764093,-0.0170474137057991,0.310126264296438,0.901388564855365,NA
"ABCB6",6.89923166675065,0.10959598540935,0.25173004317585,0.488802237415054,0.691568707395873
"ABCB7",27.1688775822992,0.0729182369573671,0.172203808995674,0.612055866999828,0.784170887933581
"ABCB8",17.0323940578932,0.326946252109698,0.209602361348899,0.0491546127703376,0.150817574659121
"ABCB9",7.07418770478194,0.0474489438473864,0.233098437425017,0.760629360997897,0.881490733112176
"ABCC1",64.1429899699485,0.192381477815739,0.112197617186331,0.0652767697621769,0.18537160031911
"ABCC10",23.5305108639123,-0.108903773065623,0.170286077364391,0.445829859613413,0.656470853871905
"ABCC11",0.061084527084684,-0.0168229451230737,0.310107765253434,0.901388564855365,NA
"ABCC2",1.40390419518041,-0.0555387481759205,0.2947129725912,0.604030697143285,0.780152444388507
"ABCC3",20.2884385912838,1.01860587447833,0.278140228007913,2.12959279527834e-05,0.000247732513100359
"ABCC4",36.4594555450173,0.158393926614039,0.138278459705865,0.200389380101915,0.402344302235877
"ABCC5",32.1671468446659,-0.17130558993702,0.167073490931932,0.22506418316232,0.433105726745046
"ABCC6",0.495309325943879,-0.0743106931504015,0.315284391535802,0.306422450883966,0.524744666012794
"ABCC6P1",0.0662959288836538,0.0162454547245391,0.310046181196973,0.910986091726001,NA
"ABCC6P2",0.488349693524818,-0.000976484966254489,0.303647630510883,0.988414377082441,0.996525365674296
