"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A1BG",45.8390603927919,0.378053867062597,0.15445919779195,0.00992392167482829,0.0225917939775145
"A1BG-AS1",85.5227288458184,-0.236625581271271,0.109598699859272,0.0266420305672952,0.0546449806413159
"A1CF",1.16061547287813,-0.139528087166914,0.476157027971232,0.494483973349642,0.617399329597755
"A2M",5.07831211484234,-4.0075613601415,0.789057514046423,6.94474155286514e-08,3.40699174152641e-07
"A2M-AS1",7.65964388603514,-2.01578701119818,0.409585635212031,9.40778428947704e-08,4.54794100355177e-07
"A2MP1",0.0557806040754051,-0.0435873351104778,0.505647571837781,0.896724118835333,NA
"A3GALT2",1.16239592037498,-0.120180524468234,0.458493252546785,0.581231344213601,0.695925507102371
"A4GALT",360.420625013221,0.392606094447359,0.084120664384829,2.13866472715287e-06,8.73900555492388e-06
"AAAS",988.638401500224,-0.1606865766599,0.0481856404950611,0.000803252078274516,0.00223422636018348
"AACS",1002.51528663682,0.411356047608415,0.0463527034344384,4.83556745699821e-19,6.79315161942007e-18
"AACSP1",2.45052066662568,-0.888866259300282,0.869615142369009,0.0289269032323722,0.0587547009595238
"AADAC",4.8161438531303,-2.6481908593129,0.642274505821278,3.49039080017425e-06,1.38700500002493e-05
"AADACP1",40.5603888824042,-2.36100644802858,0.185880447441682,7.75979423911461e-38,2.95064119459761e-36
"AADAT",335.563021617724,-0.293546202312651,0.0865248228388771,0.0005652335755175,0.00161424588804242
"AAGAB",1335.15153307312,0.0120742131231626,0.0474514207763629,0.800581190892615,0.867709542750208
"AAK1",3390.90085696999,0.39682692778379,0.100977141816614,5.91538713351974e-05,0.00019808769548407
"AAMDC",200.660536870098,0.141710721706227,0.10117267414537,0.15281271388074,0.248796068397101
"AAMP",2694.89053762451,0.0525381290930888,0.0309761603290753,0.0892166938600789,0.157697247475084
"AANAT",1.41467278687533,0.250879978897469,0.491102917640519,0.305631153224805,0.434520391877757
"AAR2",2209.89230549829,-0.112711920152635,0.0337507697360732,0.000814038664932694,0.00226207103249599
"AARD",54.2512138809759,-0.822542765619578,0.155645036571117,3.48248873561679e-08,1.77859806758293e-07
"AARS1",5455.31739147172,-1.31925984525835,0.14750789359113,4.98154290043658e-20,7.42470680770056e-19
"AARS2",932.710889972226,0.137612343377692,0.0653511505190645,0.033711725719555,0.0672734131605251
"AARSD1",0.0603913134482222,-0.0444574077481229,0.505758097197525,0.896724118835333,NA
"AARSD1P1",3.65410693810451,-0.164253690719507,0.363360956847742,0.524623138487482,0.645307149027124
"AASDH",611.80361737351,-0.16251958905494,0.0944697417403474,0.0796893061408921,0.143233108966451
"AASDHPPT",4438.54728426458,-0.290865178234947,0.0941745158952064,0.00162800982259799,0.0043033686320258
"AASS",2066.89480305006,0.497823534802416,0.101407652022294,5.27809643547422e-07,2.32348520115107e-06
"AATBC",1.79985923833793,-0.0450308746386283,0.418822226073877,0.848446273396081,0.899298729181505
"AATF",5935.26867705154,-0.515988743643072,0.061571662412611,2.74848767837099e-17,3.35144202911617e-16
"AATK",1.77546231841996,1.47009265566516,0.931093461521825,0.0091383466041593,0.0209452072007153
"ABALON",7.68180000399067,0.608115901991222,0.410270585129996,0.0441788735729158,0.0853823380959316
"ABAT",13.2577779588115,1.28086435471697,0.300627144012157,2.91652948474025e-06,1.17041856368785e-05
"ABCA1",2976.04442191468,0.286337993608601,0.149303058110467,0.0422978087147505,0.0821600576858177
"ABCA10",77.868951475196,0.353469761790086,0.141749042008089,0.00918741421075539,0.021041984531646
"ABCA11P",297.310859181508,0.127374089939612,0.119406399870591,0.272620841219342,0.396817648094325
"ABCA12",1.87166448227937,-0.95374056895488,0.989389641135965,0.0261833497433742,0.0537567078620501
"ABCA13",29.1873266041703,-1.07598343439717,0.196083397054731,7.35526593754040e-09,4.06105781189698e-08
"ABCA17P",4.32208122875542,0.203431587930752,0.354447511063496,0.435150050978416,0.56359748433276
"ABCA2",1628.45536579251,0.621994872917693,0.135748332086749,2.00301377590614e-06,8.21903955863718e-06
"ABCA3",792.551124918049,-0.138704439941392,0.0902374494927807,0.117723580983454,0.199798668080269
"ABCA4",6.63443400730917,-0.0423642594222007,0.288611187252553,0.857057820754472,0.904107362919211
"ABCA5",417.862230293827,-0.372999637000617,0.103638566755631,0.000229317680380349,0.000698270390088551
"ABCA6",41.3131420190209,-2.0039603888406,0.168327518930804,1.28484115420814e-33,4.03683960888577e-32
"ABCA7",406.380271685604,0.709959093886158,0.1116244635776,7.15697603322071e-11,4.88062224927047e-10
"ABCA8",0.392324653850311,-0.163416674858773,0.523516632382617,0.354880235426208,0.486634751630637
"ABCA9",3.7682677686032,-0.726309798154328,0.535132713214038,0.036135890503404,0.0715273278225202
"ABCB1",0.463784777207454,-0.0394851590092753,0.490240930794302,0.787987465299853,0.859165420142026
"ABCB10",1587.6706260202,0.69898417324733,0.0702235733724476,9.25021002737288e-24,1.74787550666479e-22
"ABCB11",0.24864373265535,-0.12175661969745,0.521360699416029,0.515369399825041,NA
"ABCB4",0.481661101083536,0.0830445705079266,0.482796256853479,0.641594238590489,0.747611868053303
"ABCB5",0.310393458454031,-0.106146088308817,0.508044984626044,0.542411435336031,NA
"ABCB6",362.220308301305,0.51385217589444,0.11012722263602,1.6761540147386e-06,6.9426841234034e-06
"ABCB7",1174.58069333002,0.315131709075873,0.0455487760392026,3.69305017815949e-12,2.85700308894136e-11
"ABCB8",762.838374303735,0.259397347105559,0.0745607908016925,0.000433872260688992,0.00126562737795452
"ABCB9",322.421082885536,-0.218082090381569,0.0766255501789775,0.00393793658242703,0.00973492661693022
"ABCC1",3145.72851361287,0.180223799468902,0.0362953993135094,6.46810384179463e-07,2.81111734416607e-06
"ABCC10",1123.10021434759,-0.28364559059939,0.0573152704066606,6.21960233278835e-07,2.71132836553111e-06
"ABCC11",1.38323430495446,-0.413472453134199,0.609186714968086,0.124687266968197,0.209572701086624
"ABCC12",1.08161001462808,-0.126470394990111,0.462911630100707,0.555418334436833,0.672350154325301
"ABCC13",0.268388995473767,-0.165471123836228,0.535711376188257,0.418274189974904,NA
"ABCC2",63.7439035430904,-0.12432776848489,0.129108507544019,0.318330685282315,0.448283256470979
"ABCC3",983.95412760688,1.07087816225579,0.0944502591397697,1.62255349777783e-30,4.45415770142531e-29
"ABCC4",1777.98453534184,0.0861823814069973,0.0730423759398988,0.232396950763619,0.350476292784992
"ABCC5",1460.30364810201,-0.139744115218239,0.110427768086066,0.191876042674497,0.299438488176385
"ABCC6",35.5004522223423,0.332090830602709,0.154779056767453,0.0238524898803717,0.0494512366058529
"ABCC6P1",4.36698747655229,-0.0586692840863676,0.350650455163182,0.816698679491389,0.878375984754194
"ABCC6P2",12.6480862941009,0.272651760656934,0.306848232851529,0.270221732111168,0.394178671444798
"ABCC8",0.431288979215763,-0.172150539012941,0.542294188840581,0.262290792545656,0.385325763629189
"ABCC9",38.9601252842767,-3.22861330126347,0.278688651742692,5.11855850436309e-32,1.49270482562198e-30
"ABCD1",587.611487864847,0.396218110957305,0.0942791655778202,1.8265142393871e-05,6.57581790901457e-05
"ABCD2",0.994768775927682,-0.128337340575508,0.477120913631248,0.515601861791936,0.637416466740539
